Date,Particulars,Debit,Credit,Balance
22/02/2023,ATM/WDL/569137322182/CANARA ATM MYSURU,1250.00,,1741408.29
22/02/2023,UPI/DR/596155535106/RAJENDRA PRASAD/CNRB0226879/rajendra141@ybl,1250.00,,1740158.29
22/02/2023,NEFT/884869175636/SUNITA DEVI/CNRB0226879/16732564569074,249.00,,1739909.29
22/02/2023,UPI/CR/3851611627/GOPAL VERMA/CNRB0226879/gopal704@paytm,,4800.00,1744709.29
22/02/2023,UPI/DR/27705724/MOHAN DAS/CNRB0226879/mohan832@oksbi,3499.00,,1741210.29
23/02/2023,NEFT/0435928929/LATHA MURTHY/CNRB0226879/63355648445742,3499.00,,1737711.29
23/02/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1761711.29
23/02/2023,NEFT/567381618931/KAVERI MENON/CNRB0226879/19017242202336,,850.00,1762561.29
24/02/2023,NEFT/8073919081/SAVITHA DEVI/CNRB0226879/41398152400969,79.00,,1762482.29
24/02/2023,UPI/DR/612660633241/MEENA IYER/CNRB0226879/meena429@okaxis,49.00,,1762433.29
25/02/2023,NEFT/582677498080/USHA RANI/CNRB0226879/22686829849903,,18500.00,1780933.29
25/02/2023,UPI/DR/8940376862/SUSHMA RAO/CNRB0226879/sushma824@paytm,999.00,,1779934.29
25/02/2023,NEFT/5398365857/KIRAN REDDY/CNRB0226879/43691548110312,79.00,,1779855.29
25/02/2023,CHQ NO 934927 CLEARING,79.00,,1779776.29
25/02/2023,UPI/DR/422782722940/SHAHID KHAN/CNRB0226879/shahid646@ybl,2380.00,,1777396.29
26/02/2023,UPI/DR/4993447400/NILESH KULKARNI/CNRB0226879/nilesh917@paytm,1680.00,,1775716.29
27/02/2023,UPI/DR/7643648082/DEEPAK JOSHI/CNRB0226879/deepak419@okhdfc,2380.00,,1773336.29
27/02/2023,UPI/DR/0603111232/KAVYA REDDY/CNRB0226879/kavya821@ybl,3499.00,,1769837.29
28/02/2023,CHQ NO 614096 CLEARING,449.00,,1769388.29
28/02/2023,UPI/DR/304345282029/SURESH NAIR/CNRB0226879/suresh424@paytm,999.00,,1768389.29
28/02/2023,UPI/CR/6550744208/SUNITA DEVI/CNRB0226879/sunita61@okaxis,,18500.00,1786889.29
28/02/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,1794489.29
01/03/2023,ATM/WDL/071046721732/HDFC ATM KORAMANGALA,2380.00,,1792109.29
01/03/2023,ATM/WDL/481180430451/SBI ATM JAYANAGAR BLR,5200.00,,1786909.29
01/03/2023,UPI/DR/317387053723/SURESH NAIR/CNRB0226879/suresh187@paytm,249.00,,1786660.29
02/03/2023,NEFT/544596271927/VENKAT RAO/CNRB0226879/20961769359831,,11200.00,1797860.29
02/03/2023,NEFT/64981085/REKHA PILLAI/CNRB0226879/59285891280667,,32000.00,1829860.29
02/03/2023,UPI/DR/759906931962/FAILED/TimeOut/Padma Rao,5000.00,,1829860.29
03/03/2023,UPI/DR/46181134/NIKHIL GUPTA/CNRB0226879/nikhil696@ybl,310.00,,1829550.29
03/03/2023,NEFT/3450416380/PRAKASH RAO/CNRB0226879/12497313770777,2380.00,,1827170.29
04/03/2023,UPI/DR/89805634/NILESH KULKARNI/CNRB0226879/nilesh173@paytm,449.00,,1826721.29
04/03/2023,NEFT/56359505/FARHAN KHAN/CNRB0226879/80043879676929,79.00,,1826642.29
04/03/2023,CHQ NO 864353 CLEARING,3499.00,,1823143.29
04/03/2023,UPI/DR/5265863466/MOHAMMED IRFAN/CNRB0226879/mohammed531@okaxis,449.00,,1822694.29
05/03/2023,NEFT/9493385756/FARHAN KHAN/CNRB0226879/08025712452526,,2500.00,1825194.29
05/03/2023,IMPS/P2P/86720134/ARJUN MEHTA/9858935624,,32000.00,1857194.29
06/03/2023,NEFT/5686631729/NAVEEN KUMAR/CNRB0226879/45488818740693,49.00,,1857145.29
07/03/2023,UPI/DR/3390345970/RAJESH VERMA/CNRB0226879/rajesh171@oksbi,449.00,,1856696.29
07/03/2023,CHQ NO 312570 CLEARING,310.00,,1856386.29
07/03/2023,UPI/CR/39722819/VIKRAM NAIR/CNRB0226879/vikram490@okhdfc,,18500.00,1874886.29
07/03/2023,UPI/CR/97886856/DEEPA NAIR/CNRB0226879/deepa29@okhdfc,,850.00,1875736.29
07/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1899736.29
08/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,1923736.29
09/03/2023,NEFT/052999866797/SURESH NAIR/CNRB0226879/49865431657708,,32000.00,1955736.29
10/03/2023,UPI/DR/706118714265/SUNITA DEVI/CNRB0226879/sunita968@okhdfc,49.00,,1955687.29
10/03/2023,UPI/DR/9829955744/MOHAN DAS/CNRB0226879/mohan175@ybl,850.00,,1954837.29
11/03/2023,UPI/DR/408322746487/TARA SINGH/CNRB0226879/tara97@paytm,2380.00,,1952457.29
11/03/2023,IMPS/P2P/7772986770/PRAKASH RAO/9892273587,,11200.00,1963657.29
11/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,11200.00,1974857.29
12/03/2023,UPI/DR/47479265/POOJA SHARMA/CNRB0226879/pooja480@oksbi,310.00,,1974547.29
12/03/2023,UPI/CR/0170630005/PREETHI IYER/CNRB0226879/preethi379@okaxis,,7600.00,1982147.29
12/03/2023,UPI/DR/36328639/MOHAN DAS/CNRB0226879/mohan864@ybl,2380.00,,1979767.29
13/03/2023,CHQ NO 538178 CLEARING,2380.00,,1977387.29
13/03/2023,IMPS/P2P/576774652967/USHA RANI/9671501646,,4800.00,1982187.29
13/03/2023,UPI/CR/5200131140/ANAND KUMAR/CNRB0226879/anand836@oksbi,,11200.00,1993387.29
14/03/2023,UPI/CR/638693880222/PADMA RAO/CNRB0226879/padma801@okaxis,,500.00,1993887.29
14/03/2023,NEFT/42461837/HARISH MENON/CNRB0226879/10422560081707,699.00,,1993188.29
15/03/2023,UPI/DR/230957309982/ARCHANA PILLAI/CNRB0226879/archana847@ybl,999.00,,1992189.29
16/03/2023,UPI/DR/28176109/RANJIT SINGH/CNRB0226879/ranjit946@paytm,2380.00,,1989809.29
17/03/2023,UPI/DR/638884597515/ANITHA KRISHNAN/CNRB0226879/anitha399@paytm,1250.00,,1988559.29
17/03/2023,CHQ NO 035403 CLEARING,2380.00,,1986179.29
17/03/2023,NEFT/3144256202/BABU LAL/CNRB0226879/45872005228798,249.00,,1985930.29
17/03/2023,CHQ NO 612479 CLEARING,120.00,,1985810.29
18/03/2023,UPI/DR/384098592021/NIKHIL GUPTA/CNRB0226879/nikhil176@ybl,1680.00,,1984130.29
19/03/2023,UPI/CR/02438230/LALITHA DEVI/CNRB0226879/lalitha852@okaxis,,11200.00,1995330.29
19/03/2023,ATM/WDL/3332304404/SBI ATM JAYANAGAR BLR,310.00,,1995020.29
19/03/2023,UPI/DR/01841336/SAVITHA DEVI/CNRB0226879/savitha258@oksbi,999.00,,1994021.29
20/03/2023,UPI/DR/98040931/MEERA PILLAI/CNRB0226879/meera156@paytm,850.00,,1993171.29
20/03/2023,UPI/DR/304520316321/CHANDAN SHARMA/CNRB0226879/chandan401@oksbi,1680.00,,1991491.29
20/03/2023,UPI/DR/07268818/PREETHI IYER/CNRB0226879/preethi317@okaxis,310.00,,1991181.29
20/03/2023,ATM/WDL/149477612856/HDFC ATM KORAMANGALA,1250.00,,1989931.29
21/03/2023,UPI/DR/3881718375/IMRAN KHAN/CNRB0226879/imran248@oksbi,449.00,,1989482.29
21/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,850.00,1990332.29
21/03/2023,ATM/WDL/93182398/SBI ATM JAYANAGAR BLR,699.00,,1989633.29
22/03/2023,CHQ NO 884238 CLEARING,49.00,,1989584.29
22/03/2023,UPI/DR/5594344367/KAVERI MENON/CNRB0226879/kaveri276@oksbi,449.00,,1989135.29
22/03/2023,CHQ NO 836504 CLEARING,850.00,,1988285.29
23/03/2023,NEFT/973093213160/NADIA HUSSAIN/CNRB0226879/24059449225936,3499.00,,1984786.29
23/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,18500.00,2003286.29
23/03/2023,ATM/WDL/673195828424/CANARA ATM MYSURU,2380.00,,2000906.29
24/03/2023,NEFT/7276631669/SURESH NAIR/CNRB0226879/15433392131791,5200.00,,1995706.29
24/03/2023,UPI/DR/92094432/ADITYA KUMAR/CNRB0226879/aditya621@okaxis,7800.00,,1987906.29
24/03/2023,UPI/CR/31206361/IMRAN KHAN/CNRB0226879/imran56@ybl,,11200.00,1999106.29
24/03/2023,CHQ NO 400818 CLEARING,3499.00,,1995607.29
24/03/2023,NEFT/3862177624/ANAND KUMAR/CNRB0226879/61740761034455,,24000.00,2019607.29
25/03/2023,UPI/DR/14330222/KAVITHA RAO/CNRB0226879/kavitha259@ybl,7800.00,,2011807.29
26/03/2023,NEFT/177123186370/KARTHIK MENON/CNRB0226879/64967438872450,7800.00,,2004007.29
26/03/2023,NEFT/95875368/PREETHI IYER/CNRB0226879/94294421077105,79.00,,2003928.29
27/03/2023,UPI/DR/49574370/SMITHA PILLAI/CNRB0226879/smitha55@okaxis,310.00,,2003618.29
28/03/2023,NEFT/96968758/TARA SINGH/CNRB0226879/06319608550743,,4800.00,2008418.29
28/03/2023,UPI/DR/060997022061/SNEHA PATIL/CNRB0226879/sneha716@paytm,3499.00,,2004919.29
29/03/2023,UPI/CR/919901685798/SUNITA DEVI/CNRB0226879/sunita801@okaxis,,32000.00,2036919.29
29/03/2023,NEFT/7521956926/PADMA RAO/CNRB0226879/29024623754145,249.00,,2036670.29
29/03/2023,NEFT/08720067/POOJA SHARMA/CNRB0226879/36347717133589,,1200.00,2037870.29
30/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,24000.00,2061870.29
30/03/2023,UPI/CR/556999043842/FARHAN KHAN/CNRB0226879/farhan715@okhdfc,,2500.00,2064370.29
30/03/2023,NEFT/85487864/NIKHIL GUPTA/CNRB0226879/93625891253891,449.00,,2063921.29
31/03/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,2071521.29
01/04/2023,UPI/DR/1842704621/PRIYA NAIR/CNRB0226879/priya123@okhdfc,850.00,,2070671.29
01/04/2023,UPI/DR/20203581/BABU LAL/CNRB0226879/babu205@ybl,699.00,,2069972.29
01/04/2023,UPI/DR/146732320980/ARJUN MEHTA/CNRB0226879/arjun722@paytm,2380.00,,2067592.29
01/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,500.00,2068092.29
01/04/2023,NEFT/3084271134/PRIYA NAIR/CNRB0226879/92198874048958,,7600.00,2075692.29
01/04/2023,NEFT/4515575082/MALLIKA DAS/CNRB0226879/29440193862238,3499.00,,2072193.29
01/04/2023,CHQ NO 010418 CLEARING,1680.00,,2070513.29
01/04/2023,CHQ NO 683740 CLEARING,3499.00,,2067014.29
02/04/2023,UPI/DR/7052647198/BINDHU NAIR/CNRB0226879/bindhu98@ybl,699.00,,2066315.29
02/04/2023,NEFT/2624513608/KARTHIK MENON/CNRB0226879/97399993918139,,11200.00,2077515.29
02/04/2023,ATM/WDL/314591960398/HDFC ATM KORAMANGALA,449.00,,2077066.29
02/04/2023,NEFT/412799988493/KAVERI MENON/CNRB0226879/92605714338762,2380.00,,2074686.29
02/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,2077186.29
03/04/2023,NEFT/761851690286/RAJESH VERMA/CNRB0226879/72239457473333,,2500.00,2079686.29
03/04/2023,UPI/DR/1896492493/MOHAMMED IRFAN/CNRB0226879/mohammed75@okhdfc,7800.00,,2071886.29
03/04/2023,ATM/WDL/728888953199/SBI ATM JAYANAGAR BLR,1680.00,,2070206.29
03/04/2023,UPI/DR/9305391213/DIVYA MENON/CNRB0226879/divya997@okaxis,79.00,,2070127.29
03/04/2023,NEFT/11074475/SUSHMA RAO/CNRB0226879/42205235880904,,4800.00,2074927.29
04/04/2023,UPI/DR/24032514/VINAY PATIL/CNRB0226879/vinay17@ybl,79.00,,2074848.29
05/04/2023,UPI/CR/9659647794/VENKAT RAO/CNRB0226879/venkat755@ybl,,500.00,2075348.29
05/04/2023,NEFT/2201291155/SAVITHA DEVI/CNRB0226879/85620164809797,449.00,,2074899.29
05/04/2023,UPI/DR/3325488709/GANESH KUMAR/CNRB0226879/ganesh425@okhdfc,7800.00,,2067099.29
05/04/2023,UPI/DR/574766597229/KARTHIK MENON/CNRB0226879/karthik538@ybl,120.00,,2066979.29
05/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,500.00,2067479.29
06/04/2023,UPI/DR/8180733195/MOHAN DAS/CNRB0226879/mohan347@okhdfc,249.00,,2067230.29
06/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,2069730.29
06/04/2023,ATM/WDL/201990156754/SBI ATM JAYANAGAR BLR,699.00,,2069031.29
06/04/2023,NEFT/263703133470/SNEHA PATIL/CNRB0226879/56960573851689,,850.00,2069881.29
07/04/2023,CHQ NO 376896 CLEARING,2380.00,,2067501.29
07/04/2023,CHQ NO 039722 CLEARING,1680.00,,2065821.29
07/04/2023,NEFT/197653153097/IMRAN KHAN/CNRB0226879/53939009225268,,2500.00,2068321.29
07/04/2023,NEFT/13823304/KIRAN REDDY/CNRB0226879/83343610241362,699.00,,2067622.29
08/04/2023,NEFT/3434679219/RAJENDRA PRASAD/CNRB0226879/73949832375943,249.00,,2067373.29
08/04/2023,UPI/DR/95605816/FATIMA SHEIKH/CNRB0226879/fatima979@ybl,120.00,,2067253.29
09/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,2069753.29
09/04/2023,IMPS/P2P/08245265/ARUN SHARMA/9913390141,,850.00,2070603.29
10/04/2023,UPI/DR/966322314807/MEERA PILLAI/CNRB0226879/meera524@okaxis,449.00,,2070154.29
10/04/2023,UPI/DR/62655852/DEEPAK JOSHI/CNRB0226879/deepak441@paytm,120.00,,2070034.29
10/04/2023,UPI/DR/8402260211/LALITHA DEVI/CNRB0226879/lalitha958@ybl,699.00,,2069335.29
12/04/2023,UPI/DR/3844475176/RANJIT SINGH/CNRB0226879/ranjit737@paytm,999.00,,2068336.29
13/04/2023,NEFT/095606410352/DEEPAK JOSHI/CNRB0226879/43051171345528,,2500.00,2070836.29
13/04/2023,UPI/DR/335389396412/RAHUL SINGH/CNRB0226879/rahul662@okaxis,3499.00,,2067337.29
13/04/2023,UPI/DR/589777368959/MOHAMMED IRFAN/CNRB0226879/mohammed692@okaxis,2380.00,,2064957.29
13/04/2023,CHQ NO 642462 CLEARING,5200.00,,2059757.29
14/04/2023,CHQ NO 663414 CLEARING,7800.00,,2051957.29
14/04/2023,NEFT/707002647397/NADIA HUSSAIN/CNRB0226879/87820815549177,,11200.00,2063157.29
14/04/2023,ATM/WDL/9183229460/SBI ATM JAYANAGAR BLR,310.00,,2062847.29
14/04/2023,UPI/CR/98174663/SMITHA PILLAI/CNRB0226879/smitha719@oksbi,,7600.00,2070447.29
15/04/2023,UPI/DR/365408331548/LALITHA DEVI/CNRB0226879/lalitha479@okhdfc,999.00,,2069448.29
15/04/2023,UPI/CR/962623233915/GOPAL VERMA/CNRB0226879/gopal212@oksbi,,4800.00,2074248.29
15/04/2023,NEFT/4996324690/SHEELA DEVI/CNRB0226879/78678553106116,,500.00,2074748.29
15/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,4800.00,2079548.29
16/04/2023,ATM/WDL/216579418557/SBI ATM JAYANAGAR BLR,7800.00,,2071748.29
16/04/2023,ATM/WDL/2891296163/CANARA ATM MYSURU,7800.00,,2063948.29
16/04/2023,CHQ NO 588688 CLEARING,1680.00,,2062268.29
17/04/2023,ATM/WDL/12182587/HDFC ATM KORAMANGALA,999.00,,2061269.29
18/04/2023,UPI/CR/5822637933/PRAKASH RAO/CNRB0226879/prakash228@paytm,,1200.00,2062469.29
18/04/2023,UPI/DR/6939195857/ARCHANA PILLAI/CNRB0226879/archana89@paytm,449.00,,2062020.29
18/04/2023,NEFT/1815193864/IMRAN KHAN/CNRB0226879/43028168346659,49.00,,2061971.29
18/04/2023,CHQ NO 625690 CLEARING,2380.00,,2059591.29
18/04/2023,NEFT/257104881855/NIKHIL GUPTA/CNRB0226879/80548559924284,1250.00,,2058341.29
19/04/2023,NEFT/22571572/AYESHA KHAN/CNRB0226879/46238739263398,,2500.00,2060841.29
19/04/2023,UPI/DR/41096614/TARA SINGH/CNRB0226879/tara668@okhdfc,5200.00,,2055641.29
19/04/2023,ATM/WDL/0526393091/CANARA ATM MYSURU,79.00,,2055562.29
20/04/2023,NEFT/4060214101/GANESH KUMAR/CNRB0226879/58289700744528,1250.00,,2054312.29
21/04/2023,NEFT/0456128439/MOHAN DAS/CNRB0226879/69324392023879,,2500.00,2056812.29
21/04/2023,UPI/DR/9441107899/ARJUN MEHTA/CNRB0226879/arjun531@paytm,7800.00,,2049012.29
21/04/2023,UPI/DR/783925737472/MEERA PILLAI/CNRB0226879/meera557@oksbi,3499.00,,2045513.29
21/04/2023,CHQ NO 575588 CLEARING,120.00,,2045393.29
22/04/2023,UPI/DR/6497927432/SUNIL YADAV/CNRB0226879/sunil681@okhdfc,310.00,,2045083.29
22/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,2047583.29
23/04/2023,CHQ NO 357088 CLEARING,79.00,,2047504.29
23/04/2023,UPI/DR/162161483521/SURESH NAIR/CNRB0226879/suresh928@ybl,49.00,,2047455.29
23/04/2023,UPI/DR/666696130374/PRIYA NAIR/CNRB0226879/priya504@paytm,850.00,,2046605.29
23/04/2023,NEFT/6580311885/SUNIL YADAV/CNRB0226879/00419351908001,2380.00,,2044225.29
24/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,2051825.29
25/04/2023,UPI/DR/33710022/DIVYA MENON/CNRB0226879/divya911@oksbi,1680.00,,2050145.29
25/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,2051345.29
25/04/2023,ATM/WDL/27007436/CANARA ATM MYSURU,5200.00,,2046145.29
25/04/2023,NEFT/801147468598/LATHA MURTHY/CNRB0226879/39883517258607,,24000.00,2070145.29
26/04/2023,UPI/DR/5579077019/USHA RANI/CNRB0226879/usha627@oksbi,2380.00,,2067765.29
26/04/2023,IMPS/P2P/5142279327/KIRAN REDDY/8020936053,,500.00,2068265.29
26/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,2069465.29
27/04/2023,ATM/WDL/56007126/SBI ATM JAYANAGAR BLR,699.00,,2068766.29
27/04/2023,NEFT/8163565201/SHEELA DEVI/CNRB0226879/51179118625309,,11200.00,2079966.29
27/04/2023,UPI/DR/931616893718/IMRAN KHAN/CNRB0226879/imran109@paytm,49.00,,2079917.29
27/04/2023,UPI/DR/142216078993/TANVI RAO/CNRB0226879/tanvi407@okaxis,7800.00,,2072117.29
27/04/2023,NEFT/287303440840/DEEPAK JOSHI/CNRB0226879/80935516385864,,4800.00,2076917.29
28/04/2023,UPI/DR/181278305158/FATIMA SHEIKH/CNRB0226879/fatima335@okaxis,1250.00,,2075667.29
28/04/2023,NEFT/0100765982/GOPAL VERMA/CNRB0226879/15537512847022,1680.00,,2073987.29
29/04/2023,UPI/CR/7401450782/PRAKASH RAO/CNRB0226879/prakash740@oksbi,,7600.00,2081587.29
29/04/2023,UPI/DR/74290662/FARHAN KHAN/CNRB0226879/farhan334@okhdfc,7800.00,,2073787.29
29/04/2023,UPI/DR/00182780/FARHAN KHAN/CNRB0226879/farhan483@okaxis,120.00,,2073667.29
30/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,2081267.29
30/04/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,7600.00,2088867.29
01/05/2023,UPI/DR/515326972320/FARHAN KHAN/CNRB0226879/farhan778@oksbi,1250.00,,2087617.29
01/05/2023,IMPS/P2P/666834994188/SURESH BABU/7421547123,,18500.00,2106117.29
01/05/2023,UPI/DR/39090420/RAMESH PILLAI/CNRB0226879/ramesh651@oksbi,1680.00,,2104437.29
01/05/2023,UPI/DR/24545717/KIRAN REDDY/CNRB0226879/kiran224@okaxis,1250.00,,2103187.29
02/05/2023,ATM/WDL/3572128538/CANARA ATM MYSURU,850.00,,2102337.29
02/05/2023,UPI/DR/183337153993/PRAKASH RAO/CNRB0226879/prakash357@okaxis,120.00,,2102217.29
02/05/2023,UPI/DR/514319276587/TANVI RAO/CNRB0226879/tanvi110@paytm,79.00,,2102138.29
03/05/2023,UPI/DR/046723083931/ARJUN MEHTA/CNRB0226879/arjun349@paytm,1250.00,,2100888.29
04/05/2023,ATM/WDL/61156462/HDFC ATM KORAMANGALA,49.00,,2100839.29
04/05/2023,UPI/DR/3549568153/SMITHA PILLAI/CNRB0226879/smitha325@paytm,1250.00,,2099589.29
04/05/2023,UPI/DR/88254310/SURESH NAIR/CNRB0226879/suresh994@ybl,249.00,,2099340.29
04/05/2023,NEFT/78546055/RAMESH PILLAI/CNRB0226879/83358971455344,7800.00,,2091540.29
05/05/2023,IMPS/P2P/45676757/SUSHMA RAO/9312812853,,850.00,2092390.29
05/05/2023,UPI/DR/94535486/DIVYA MENON/CNRB0226879/divya102@paytm,1680.00,,2090710.29
05/05/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,500.00,2091210.29
05/05/2023,CHQ NO 561050 CLEARING,850.00,,2090360.29
06/05/2023,UPI/DR/09971687/SUNITA DEVI/CNRB0226879/sunita175@ybl,5200.00,,2085160.29
06/05/2023,UPI/DR/095664063029/DIVYA MENON/CNRB0226879/divya899@okhdfc,49.00,,2085111.29
06/05/2023,UPI/DR/61225751/GEETA DEVI/CNRB0226879/geeta942@okhdfc,120.00,,2084991.29
06/05/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,850.00,2085841.29
07/05/2023,NEFT/05694261/ANAND KUMAR/CNRB0226879/49591870212579,999.00,,2084842.29
07/05/2023,IMPS/P2P/8752030997/LATHA MURTHY/9424023294,,32000.00,2116842.29
07/05/2023,UPI/DR/6331764196/RESHMA KHAN/CNRB0226879/reshma705@paytm,249.00,,2116593.29
07/05/2023,UPI/DR/6841520513/LAKSHMI VENKAT/CNRB0226879/lakshmi797@paytm,7800.00,,2108793.29
07/05/2023,UPI/DR/172073548242/HARISH MENON/CNRB0226879/harish426@okhdfc,999.00,,2107794.29
08/05/2023,IMPS/P2P/811319468013/ARUN SHARMA/7600215590,,32000.00,2139794.29
09/05/2023,UPI/CR/4126567976/MALLIKA DAS/CNRB0226879/mallika572@okaxis,,2500.00,2142294.29
10/05/2023,UPI/DR/3034226947/KARTHIK MENON/CNRB0226879/karthik310@okhdfc,1250.00,,2141044.29
10/05/2023,IMPS/P2P/097500188060/KARTHIK MENON/9374594403,,7600.00,2148644.29
10/05/2023,UPI/DR/960416203554/MOHAN DAS/CNRB0226879/mohan936@okaxis,120.00,,2148524.29
10/05/2023,CHQ NO 561830 CLEARING,2380.00,,2146144.29
11/05/2023,IMPS/P2P/5424627029/NADIA HUSSAIN/9235910606,,850.00,2146994.29
11/05/2023,CHQ NO 944094 CLEARING,5200.00,,2141794.29
11/05/2023,UPI/DR/22967091/SAVITHA DEVI/CNRB0226879/savitha487@ybl,7800.00,,2133994.29
11/05/2023,UPI/DR/15047367/VENKAT RAO/CNRB0226879/venkat344@oksbi,120.00,,2133874.29
12/05/2023,CHQ NO 019867 CLEARING,249.00,,2133625.29
12/05/2023,CHQ NO 724865 CLEARING,79.00,,2133546.29
12/05/2023,UPI/DR/53189987/SHAHID KHAN/CNRB0226879/shahid474@okaxis,310.00,,2133236.29
13/05/2023,UPI/DR/95250397/KARTHIK MENON/CNRB0226879/karthik798@paytm,3499.00,,2129737.29
14/05/2023,NEFT/2947548671/MOHAMMED IRFAN/CNRB0226879/09269867027326,,7600.00,2137337.29
14/05/2023,CHQ NO 161034 CLEARING,850.00,,2136487.29
15/05/2023,NEFT/3120077210/SUNITA DEVI/CNRB0226879/17037752033973,,500.00,2136987.29
18/05/2023,UPI/DR/735724574136/SUNIL YADAV/CNRB0226879/sunil928@okaxis,1680.00,,2135307.29
19/05/2023,UPI/DR/2195168533/PADMA RAO/CNRB0226879/padma178@oksbi,2380.00,,2132927.29
19/05/2023,NEFT/9509389586/SURESH NAIR/CNRB0226879/70856029531865,,850.00,2133777.29
19/05/2023,ATM/WDL/846552350064/HDFC ATM KORAMANGALA,310.00,,2133467.29
21/05/2023,UPI/DR/28713047/GOPAL VERMA/CNRB0226879/gopal293@paytm,7800.00,,2125667.29
21/05/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,2500.00,2128167.29
22/05/2023,CASH DEPOSIT/BRANCH COUNTER/MALLESWARAM BENGALURU,,1200.00,2129367.29
22/05/2023,NEFT/1032214498/TANVI RAO/CNRB0226879/27562234404525,699.00,,2128668.29
22/05/2023,ATM/WDL/019358460837/CANARA ATM MYSURU,449.00,,2128219.29
22/05/2023,ATM/WDL/3450364897/HDFC ATM KORAMANGALA,699.00,,2127520.29
23/05/2023,UPI/CR/742521303067/FARHAN KHAN/CNRB0226879/farhan562@paytm,,7600.00,2135120.29
23/05/2023,NEFT/30880078/LALITHA DEVI/CNRB0226879/23715575911259,,24000.00,2159120.29
24/05/2023,UPI/DR/523886145457/ANITHA KRISHNAN/CNRB0226879/anitha906@oksbi,5200.00,,2153920.29
24/05/2023,UPI/DR/7985728425/SUNIL YADAV/CNRB0226879/sunil267@paytm,850.00,,2153070.29
24/05/2023,NEFT/0373508219/KAVERI MENON/CNRB0226879/24985791663705,,18500.00,2171570.29
24/05/2023,UPI/CR/997375514265/FARHAN KHAN/CNRB0226879/farhan271@oksbi,,32000.00,2203570.29
24/05/2023,UPI/DR/06261854/KAVITHA RAO/CNRB0226879/kavitha357@okaxis,1680.00,,2201890.29
25/05/2023,ATM/WDL/7638713061/HDFC ATM KORAMANGALA,449.00,,2201441.29
25/05/2023,UPI/DR/526273523473/FARHAN KHAN/CNRB0226879/farhan158@paytm,2380.00,,2199061.29
25/05/2023,UPI/DR/17130033/ANITHA KRISHNAN/CNRB0226879/anitha708@ybl,5200.00,,2193861.29
25/05/2023,ATM/WDL/919304580764/CANARA ATM MYSURU,7800.00,,2186061.29
26/05/2023,UPI/DR/5652867194/FARHAN KHAN/CNRB0226879/farhan348@paytm,449.00,,2185612.29
26/05/2023,IMPS/P2P/056501012232/FARHAN KHAN/8736044839,,24000.00,2209612.29
26/05/2023,UPI/DR/85151101/POOJA SHARMA/CNRB0226879/pooja26@ybl,850.00,,2208762.29
26/05/2023,CHQ NO 442425 CLEARING,2380.00,,2206382.29
26/05/2023,UPI/CR/5051406633/NAVEEN KUMAR/CNRB0226879/naveen195@okhdfc,,32000.00,2238382.29
27/05/2023,IMPS/P2P/16996452/PRAKASH RAO/7635763485,,24000.00,2262382.29
28/05/2023,UPI/DR/32678630/TANVI RAO/CNRB0226879/tanvi182@okaxis,79.00,,2262303.29
28/05/2023,CHQ NO 621190 CLEARING,1680.00,,2260623.29
28/05/2023,UPI/DR/10641722/ANAND KUMAR/CNRB0226879/anand935@okaxis,999.00,,2259624.29
