Value Date,Transaction Date,Description,Withdrawal Amt (INR Dr),Deposit Amt (INR Cr),Closing Balance
24/07/2023,24/07/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,5337772.21
25/07/2023,24/07/2023,UPI/CR/85937648/RAJESH VERMA/HDFC0722665/rajesh718@ybl,,2500.00,5340272.21
25/07/2023,25/07/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,5358772.21
25/07/2023,25/07/2023,UPI/CR/3493840216/GOPAL VERMA/HDFC0722665/gopal183@okhdfc,,32000.00,5390772.21
25/07/2023,25/07/2023,UPI/DR/823295438128/IMRAN KHAN/HDFC0722665/imran258@oksbi,999.00,,5389773.21
25/07/2023,25/07/2023,CHQ NO 730785 CLEARING,1250.00,,5388523.21
25/07/2023,25/07/2023,UPI/DR/341064120503/LATHA MURTHY/HDFC0722665/latha228@paytm,310.00,,5388213.21
25/07/2023,25/07/2023,UPI/CR/45118586/MOHAMMED IRFAN/HDFC0722665/mohammed919@paytm,,1200.00,5389413.21
27/07/2023,26/07/2023,NEFT/47262009/KIRAN REDDY/HDFC0722665/43911123153559,449.00,,5388964.21
26/07/2023,26/07/2023,UPI/DR/55896649/KIRAN REDDY/HDFC0722665/kiran70@okhdfc,2380.00,,5386584.21
26/07/2023,26/07/2023,UPI/DR/04121643/KIRAN REDDY/HDFC0722665/kiran673@okaxis,1680.00,,5384904.21
27/07/2023,27/07/2023,UPI/DR/28942440/DEEPA NAIR/HDFC0722665/deepa323@okaxis,249.00,,5384655.21
27/07/2023,27/07/2023,UPI/CR/4753123307/ADITYA KUMAR/HDFC0722665/aditya632@okhdfc,,1200.00,5385855.21
28/07/2023,27/07/2023,NEFT/41448123/NADIA HUSSAIN/HDFC0722665/46094262043889,5200.00,,5380655.21
28/07/2023,27/07/2023,CHQ NO 392142 CLEARING,49.00,,5380606.21
28/07/2023,28/07/2023,UPI/CR/050165818311/CHANDAN SHARMA/HDFC0722665/chandan591@oksbi,,2500.00,5383106.21
29/07/2023,28/07/2023,NEFT/51283460/RAJESH VERMA/HDFC0722665/06847546635841,,18500.00,5401606.21
28/07/2023,28/07/2023,NEFT/6798795784/ROHIT SHARMA/HDFC0722665/53958725548833,79.00,,5401527.21
28/07/2023,28/07/2023,UPI/CR/138983141594/NILESH KULKARNI/HDFC0722665/nilesh668@okaxis,,32000.00,5433527.21
28/07/2023,28/07/2023,ATM/WDL/77236987/SBI ATM JAYANAGAR BLR,5200.00,,5428327.21
28/07/2023,28/07/2023,NEFT/12929040/SURESH BABU/HDFC0722665/01110791982488,,32000.00,5460327.21
29/07/2023,28/07/2023,UPI/DR/1772690531/SUSHMA RAO/HDFC0722665/sushma966@ybl,2380.00,,5457947.21
29/07/2023,29/07/2023,IMPS/P2P/196723514531/BINDHU NAIR/7512559330,,11200.00,5469147.21
29/07/2023,29/07/2023,UPI/DR/430677359176/RAHUL SINGH/HDFC0722665/rahul960@oksbi,1680.00,,5467467.21
29/07/2023,29/07/2023,IMPS/P2P/7643758363/USHA RANI/8501161418,,500.00,5467967.21
29/07/2023,29/07/2023,UPI/DR/64450011/ARJUN MEHTA/HDFC0722665/arjun536@oksbi,7800.00,,5460167.21
29/07/2023,29/07/2023,NEFT/823183256838/IMRAN KHAN/HDFC0722665/11641512406040,5200.00,,5454967.21
30/07/2023,29/07/2023,IMPS/P2P/4382496713/ARJUN MEHTA/8091013434,,2500.00,5457467.21
30/07/2023,30/07/2023,UPI/DR/86004327/KIRAN REDDY/HDFC0722665/kiran49@ybl,310.00,,5457157.21
30/07/2023,30/07/2023,NEFT/404696793474/ARCHANA PILLAI/HDFC0722665/14760568521421,999.00,,5456158.21
30/07/2023,30/07/2023,UPI/CR/07256437/ARJUN MEHTA/HDFC0722665/arjun518@paytm,,1200.00,5457358.21
31/07/2023,31/07/2023,UPI/CR/75584676/KAVYA REDDY/HDFC0722665/kavya748@okaxis,,500.00,5457858.21
01/08/2023,31/07/2023,ATM/WDL/4862021852/CANARA ATM MYSURU,2380.00,,5455478.21
31/07/2023,31/07/2023,IMPS/P2P/129645470023/KAVERI MENON/8393226994,,18500.00,5473978.21
31/07/2023,31/07/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,5474478.21
31/07/2023,31/07/2023,NEFT/4831331547/RAJESH VERMA/HDFC0722665/66462359839449,79.00,,5474399.21
01/08/2023,01/08/2023,NEFT/228377617358/TANVI RAO/HDFC0722665/33331732328857,,1200.00,5475599.21
02/08/2023,01/08/2023,ATM/WDL/34249252/CANARA ATM MYSURU,699.00,,5474900.21
01/08/2023,01/08/2023,IMPS/P2P/887886323806/CHANDAN SHARMA/7074524448,,32000.00,5506900.21
02/08/2023,02/08/2023,ATM/WDL/5414035555/HDFC ATM KORAMANGALA,49.00,,5506851.21
02/08/2023,02/08/2023,UPI/DR/2644541604/SHEELA DEVI/HDFC0722665/sheela965@oksbi,5200.00,,5501651.21
02/08/2023,02/08/2023,ATM/WDL/84309718/CANARA ATM MYSURU,699.00,,5500952.21
02/08/2023,02/08/2023,UPI/DR/4279231534/DEEPAK JOSHI/HDFC0722665/deepak873@oksbi,2380.00,,5498572.21
03/08/2023,03/08/2023,UPI/DR/87011439/GANESH KUMAR/HDFC0722665/ganesh208@okaxis,79.00,,5498493.21
03/08/2023,03/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,5522493.21
04/08/2023,03/08/2023,CHQ NO 269947 CLEARING,850.00,,5521643.21
03/08/2023,03/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,32000.00,5553643.21
04/08/2023,04/08/2023,UPI/CR/21589160/RESHMA KHAN/HDFC0722665/reshma444@paytm,,24000.00,5577643.21
05/08/2023,04/08/2023,UPI/DR/1142920591/DEEPA NAIR/HDFC0722665/deepa929@okhdfc,449.00,,5577194.21
04/08/2023,04/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,7600.00,5584794.21
05/08/2023,04/08/2023,UPI/DR/00839168/DEEPA NAIR/HDFC0722665/deepa656@oksbi,310.00,,5584484.21
04/08/2023,04/08/2023,ATM/WDL/4125210937/SBI ATM JAYANAGAR BLR,79.00,,5584405.21
04/08/2023,04/08/2023,ATM/WDL/390239225036/CANARA ATM MYSURU,5200.00,,5579205.21
04/08/2023,04/08/2023,CHQ NO 681236 CLEARING,49.00,,5579156.21
05/08/2023,04/08/2023,NEFT/5540152117/POOJA SHARMA/HDFC0722665/40854497888982,,2500.00,5581656.21
05/08/2023,04/08/2023,NEFT/0381998807/RAJESH VERMA/HDFC0722665/55213335820378,,2500.00,5584156.21
06/08/2023,05/08/2023,IMPS/P2P/8814323597/RAMESH GOWDA/7000094799,,7600.00,5591756.21
05/08/2023,05/08/2023,UPI/DR/513871713923/HARISH MENON/HDFC0722665/harish454@okhdfc,49.00,,5591707.21
05/08/2023,05/08/2023,UPI/DR/7782676567/ANITHA KRISHNAN/HDFC0722665/anitha757@okhdfc,249.00,,5591458.21
05/08/2023,05/08/2023,ATM/WDL/698053413774/CANARA ATM MYSURU,1250.00,,5590208.21
05/08/2023,05/08/2023,CHQ NO 426772 CLEARING,79.00,,5590129.21
06/08/2023,06/08/2023,UPI/CR/0597117139/ARCHANA PILLAI/HDFC0722665/archana34@oksbi,,4800.00,5594929.21
06/08/2023,06/08/2023,IMPS/P2P/074494180023/RANJIT SINGH/8356179848,,4800.00,5599729.21
06/08/2023,06/08/2023,UPI/DR/852979488997/KAVYA REDDY/HDFC0722665/kavya747@okhdfc,1250.00,,5598479.21
06/08/2023,06/08/2023,UPI/DR/2053222810/SUSHMA RAO/HDFC0722665/sushma915@ybl,999.00,,5597480.21
08/08/2023,07/08/2023,CHQ NO 460382 CLEARING,850.00,,5596630.21
07/08/2023,07/08/2023,CHQ NO 762355 CLEARING,449.00,,5596181.21
07/08/2023,07/08/2023,CHQ NO 582727 CLEARING,699.00,,5595482.21
07/08/2023,07/08/2023,IMPS/P2P/55054482/SANJANA HEGDE/8813018625,,4800.00,5600282.21
08/08/2023,08/08/2023,UPI/DR/02040217/ARJUN MEHTA/HDFC0722665/arjun840@ybl,49.00,,5600233.21
08/08/2023,08/08/2023,IMPS/P2P/89328657/LAKSHMI VENKAT/8500814840,,2500.00,5602733.21
08/08/2023,08/08/2023,UPI/DR/987200187938/TARA SINGH/HDFC0722665/tara565@okhdfc,1250.00,,5601483.21
08/08/2023,08/08/2023,CHQ NO 404482 CLEARING,1250.00,,5600233.21
09/08/2023,09/08/2023,NEFT/141362752333/ROHIT SHARMA/HDFC0722665/77223358196270,,500.00,5600733.21
09/08/2023,09/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,7600.00,5608333.21
09/08/2023,09/08/2023,UPI/CR/46676689/KAVITHA RAO/HDFC0722665/kavitha554@paytm,,500.00,5608833.21
10/08/2023,09/08/2023,ATM/WDL/4319329865/CANARA ATM MYSURU,5200.00,,5603633.21
09/08/2023,09/08/2023,CHQ NO 364880 CLEARING,850.00,,5602783.21
10/08/2023,09/08/2023,UPI/CR/3581478597/ARUN SHARMA/HDFC0722665/arun874@okhdfc,,32000.00,5634783.21
09/08/2023,09/08/2023,UPI/DR/82423675/RAVI KUMAR SHARMA/HDFC0722665/ravi781@okhdfc,999.00,,5633784.21
10/08/2023,09/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,7600.00,5641384.21
10/08/2023,09/08/2023,UPI/DR/065712096165/ANAND KUMAR/HDFC0722665/anand503@paytm,249.00,,5641135.21
10/08/2023,10/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,5643635.21
10/08/2023,10/08/2023,NEFT/7777868364/ARUN SHARMA/HDFC0722665/02014621191601,5200.00,,5638435.21
10/08/2023,10/08/2023,CHQ NO 784175 CLEARING,3499.00,,5634936.21
10/08/2023,10/08/2023,NEFT/2273194424/PREETHI IYER/HDFC0722665/42595058449181,999.00,,5633937.21
11/08/2023,10/08/2023,UPI/CR/18301194/VENKAT RAO/HDFC0722665/venkat686@paytm,,850.00,5634787.21
10/08/2023,10/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,5658787.21
11/08/2023,11/08/2023,ATM/WDL/248407700757/SBI ATM JAYANAGAR BLR,3499.00,,5655288.21
11/08/2023,11/08/2023,UPI/DR/2255379786/TARA SINGH/HDFC0722665/tara342@okhdfc,120.00,,5655168.21
11/08/2023,11/08/2023,NEFT/7338300078/NAVEEN KUMAR/HDFC0722665/00663038865225,850.00,,5654318.21
12/08/2023,11/08/2023,NEFT/288003904406/KAVERI MENON/HDFC0722665/22571382347590,699.00,,5653619.21
11/08/2023,11/08/2023,UPI/DR/94508815/MEERA PILLAI/HDFC0722665/meera12@paytm,3499.00,,5650120.21
11/08/2023,11/08/2023,UPI/DR/467467738554/ARJUN MEHTA/HDFC0722665/arjun271@okaxis,5200.00,,5644920.21
12/08/2023,12/08/2023,IMPS/P2P/6350541304/VINAY PATIL/8791379982,,2500.00,5647420.21
12/08/2023,12/08/2023,UPI/CR/855119158262/BINDHU NAIR/HDFC0722665/bindhu839@oksbi,,7600.00,5655020.21
12/08/2023,12/08/2023,UPI/CR/270178756819/MOHAMMED IRFAN/HDFC0722665/mohammed873@okhdfc,,7600.00,5662620.21
12/08/2023,12/08/2023,NEFT/80535080/MALLIKA DAS/HDFC0722665/39303357492939,,1200.00,5663820.21
13/08/2023,12/08/2023,NEFT/0469523344/DIVYA MENON/HDFC0722665/23522538486489,,2500.00,5666320.21
12/08/2023,12/08/2023,CHQ NO 471343 CLEARING,3499.00,,5662821.21
12/08/2023,12/08/2023,CHQ NO 973893 CLEARING,120.00,,5662701.21
12/08/2023,12/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,5665201.21
13/08/2023,12/08/2023,UPI/DR/8781620151/POOJA SHARMA/HDFC0722665/pooja35@paytm,49.00,,5665152.21
14/08/2023,13/08/2023,UPI/DR/946090354637/GEETA DEVI/HDFC0722665/geeta481@oksbi,449.00,,5664703.21
14/08/2023,14/08/2023,UPI/DR/8617463895/SANTOSH KUMAR/HDFC0722665/santosh27@paytm,120.00,,5664583.21
14/08/2023,14/08/2023,UPI/DR/0769134532/NILESH KULKARNI/HDFC0722665/nilesh189@okaxis,850.00,,5663733.21
14/08/2023,14/08/2023,UPI/CR/4191364137/FARHAN KHAN/HDFC0722665/farhan720@paytm,,11200.00,5674933.21
15/08/2023,15/08/2023,ATM/WDL/728179227660/SBI ATM JAYANAGAR BLR,3499.00,,5671434.21
16/08/2023,15/08/2023,NEFT/7936269041/CHANDAN SHARMA/HDFC0722665/43479217779003,49.00,,5671385.21
16/08/2023,15/08/2023,NEFT/937307631269/RESHMA KHAN/HDFC0722665/34610678138383,5200.00,,5666185.21
15/08/2023,15/08/2023,UPI/DR/84902475/SAVITHA DEVI/HDFC0722665/savitha710@paytm,449.00,,5665736.21
17/08/2023,16/08/2023,UPI/DR/0371466388/SHEELA DEVI/HDFC0722665/sheela783@oksbi,1250.00,,5664486.21
17/08/2023,16/08/2023,CHQ NO 995706 CLEARING,1250.00,,5663236.21
17/08/2023,16/08/2023,NEFT/14710800/ARCHANA PILLAI/HDFC0722665/04218345214839,,7600.00,5670836.21
16/08/2023,16/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,1200.00,5672036.21
16/08/2023,16/08/2023,UPI/DR/7426753948/VINAY PATIL/HDFC0722665/vinay480@oksbi,7800.00,,5664236.21
16/08/2023,16/08/2023,NEFT/0963957482/SUNIL YADAV/HDFC0722665/80950030425096,310.00,,5663926.21
17/08/2023,17/08/2023,NEFT/44859989/SUNITA DEVI/HDFC0722665/92722655829940,79.00,,5663847.21
18/08/2023,17/08/2023,ATM/WDL/62995725/HDFC ATM KORAMANGALA,79.00,,5663768.21
17/08/2023,17/08/2023,ATM/WDL/61790262/CANARA ATM MYSURU,5200.00,,5658568.21
17/08/2023,17/08/2023,UPI/DR/8196233685/TARA SINGH/HDFC0722665/tara726@ybl,1250.00,,5657318.21
19/08/2023,18/08/2023,ATM/WDL/16225275/SBI ATM JAYANAGAR BLR,699.00,,5656619.21
19/08/2023,18/08/2023,UPI/DR/663730881288/SAVITHA DEVI/HDFC0722665/savitha283@paytm,1250.00,,5655369.21
19/08/2023,18/08/2023,UPI/DR/39851712/RAHUL SINGH/HDFC0722665/rahul955@okhdfc,999.00,,5654370.21
18/08/2023,18/08/2023,ATM/WDL/62878388/SBI ATM JAYANAGAR BLR,699.00,,5653671.21
18/08/2023,18/08/2023,UPI/DR/59174153/RAVI KUMAR SHARMA/HDFC0722665/ravi947@okhdfc,79.00,,5653592.21
19/08/2023,18/08/2023,NEFT/7203255702/KAVYA REDDY/HDFC0722665/53218253094967,,7600.00,5661192.21
18/08/2023,18/08/2023,ATM/WDL/004169285034/SBI ATM JAYANAGAR BLR,3499.00,,5657693.21
18/08/2023,18/08/2023,CHQ NO 128623 CLEARING,310.00,,5657383.21
19/08/2023,19/08/2023,IMPS/P2P/31076128/RAMESH GOWDA/9220730089,,7600.00,5664983.21
19/08/2023,19/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,5676183.21
19/08/2023,19/08/2023,UPI/DR/56266587/DEEPA NAIR/HDFC0722665/deepa955@oksbi,1680.00,,5674503.21
20/08/2023,19/08/2023,UPI/DR/2216485239/FATIMA SHEIKH/HDFC0722665/fatima742@okaxis,79.00,,5674424.21
19/08/2023,19/08/2023,CHQ NO 901694 CLEARING,850.00,,5673574.21
19/08/2023,19/08/2023,UPI/DR/600478346644/USHA RANI/HDFC0722665/usha40@okhdfc,3499.00,,5670075.21
19/08/2023,19/08/2023,ATM/WDL/9902654336/HDFC ATM KORAMANGALA,1250.00,,5668825.21
20/08/2023,19/08/2023,UPI/DR/4772383835/REKHA PILLAI/HDFC0722665/rekha535@okhdfc,1250.00,,5667575.21
20/08/2023,19/08/2023,NEFT/95460136/FARHAN KHAN/HDFC0722665/31093558663632,,2500.00,5670075.21
20/08/2023,20/08/2023,UPI/DR/90855714/KIRAN REDDY/HDFC0722665/kiran833@paytm,1250.00,,5668825.21
21/08/2023,20/08/2023,UPI/DR/01449952/KAVERI MENON/HDFC0722665/kaveri205@oksbi,2380.00,,5666445.21
20/08/2023,20/08/2023,UPI/DR/19760321/MEERA PILLAI/HDFC0722665/meera134@okaxis,850.00,,5665595.21
21/08/2023,21/08/2023,UPI/DR/421178367803/HARISH MENON/HDFC0722665/harish542@ybl,1680.00,,5663915.21
22/08/2023,21/08/2023,IMPS/P2P/094856385740/DEEPAK JOSHI/8187941183,,1200.00,5665115.21
21/08/2023,21/08/2023,UPI/DR/85440306/VIKRAM NAIR/HDFC0722665/vikram643@okhdfc,310.00,,5664805.21
21/08/2023,21/08/2023,UPI/DR/483092710011/ARUN SHARMA/HDFC0722665/arun27@ybl,310.00,,5664495.21
21/08/2023,21/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,4800.00,5669295.21
22/08/2023,22/08/2023,UPI/DR/852381396016/FATIMA SHEIKH/HDFC0722665/fatima100@okhdfc,999.00,,5668296.21
22/08/2023,22/08/2023,UPI/DR/88570830/VENKAT RAO/HDFC0722665/venkat488@okaxis,5200.00,,5663096.21
23/08/2023,22/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,18500.00,5681596.21
22/08/2023,22/08/2023,UPI/DR/0857721984/SHAHID KHAN/HDFC0722665/shahid981@okaxis,7800.00,,5673796.21
23/08/2023,23/08/2023,UPI/DR/895018166809/ADITYA KUMAR/HDFC0722665/aditya234@paytm,79.00,,5673717.21
23/08/2023,23/08/2023,ATM/WDL/7888560083/CANARA ATM MYSURU,79.00,,5673638.21
24/08/2023,24/08/2023,NEFT/6437612887/SNEHA PATIL/HDFC0722665/73504049903000,,32000.00,5705638.21
24/08/2023,24/08/2023,ATM/WDL/8851396480/CANARA ATM MYSURU,999.00,,5704639.21
25/08/2023,24/08/2023,UPI/DR/521596623565/GEETA DEVI/HDFC0722665/geeta538@ybl,2380.00,,5702259.21
24/08/2023,24/08/2023,UPI/DR/3751418751/LAKSHMI VENKAT/HDFC0722665/lakshmi917@oksbi,449.00,,5701810.21
24/08/2023,24/08/2023,UPI/DR/1602621197/MEENA IYER/HDFC0722665/meena603@paytm,120.00,,5701690.21
25/08/2023,25/08/2023,UPI/CR/5970819519/ARUN SHARMA/HDFC0722665/arun947@ybl,,500.00,5702190.21
25/08/2023,25/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,500.00,5702690.21
25/08/2023,25/08/2023,NEFT/8022311699/SURESH BABU/HDFC0722665/69995419263832,7800.00,,5694890.21
26/08/2023,25/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,850.00,5695740.21
25/08/2023,25/08/2023,IMPS/P2P/074696615938/HARISH MENON/8465701419,,4800.00,5700540.21
27/08/2023,26/08/2023,UPI/DR/20967703/ANITHA KRISHNAN/HDFC0722665/anitha780@ybl,249.00,,5700291.21
27/08/2023,26/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,2500.00,5702791.21
27/08/2023,27/08/2023,UPI/DR/32489508/PREETHI IYER/HDFC0722665/preethi801@oksbi,79.00,,5702712.21
27/08/2023,27/08/2023,UPI/DR/027862365245/RAJESH VERMA/HDFC0722665/rajesh572@paytm,49.00,,5702663.21
27/08/2023,27/08/2023,UPI/DR/677443498386/FATIMA SHEIKH/HDFC0722665/fatima783@oksbi,249.00,,5702414.21
27/08/2023,27/08/2023,NEFT/027241430306/LATHA MURTHY/HDFC0722665/45427296789566,,7600.00,5710014.21
27/08/2023,27/08/2023,ATM/WDL/44567962/HDFC ATM KORAMANGALA,49.00,,5709965.21
27/08/2023,27/08/2023,UPI/DR/031510431664/SMITHA PILLAI/HDFC0722665/smitha491@oksbi,3499.00,,5706466.21
28/08/2023,28/08/2023,NEFT/69439935/FATIMA SHEIKH/HDFC0722665/90590653748370,850.00,,5705616.21
28/08/2023,28/08/2023,UPI/DR/25570994/BABU LAL/HDFC0722665/babu229@ybl,5200.00,,5700416.21
29/08/2023,28/08/2023,UPI/DR/30459394/GEETA DEVI/HDFC0722665/geeta457@okaxis,850.00,,5699566.21
29/08/2023,28/08/2023,IMPS/P2P/61024467/LATHA MURTHY/7957200680,,2500.00,5702066.21
28/08/2023,28/08/2023,UPI/DR/455427989585/PADMA RAO/HDFC0722665/padma21@oksbi,5200.00,,5696866.21
28/08/2023,28/08/2023,UPI/CR/293084967529/RAMESH PILLAI/HDFC0722665/ramesh192@okaxis,,18500.00,5715366.21
28/08/2023,28/08/2023,UPI/DR/4448575300/MEENA IYER/HDFC0722665/meena545@ybl,850.00,,5714516.21
29/08/2023,29/08/2023,NEFT/51955913/PADMA RAO/HDFC0722665/05684261341811,,24000.00,5738516.21
29/08/2023,29/08/2023,IMPS/P2P/09332955/MOHAMMED IRFAN/9256143202,,2500.00,5741016.21
29/08/2023,29/08/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,5752216.21
29/08/2023,29/08/2023,CHQ NO 227160 CLEARING,2380.00,,5749836.21
29/08/2023,29/08/2023,NEFT/801880576271/VENKAT RAO/HDFC0722665/06019624273592,999.00,,5748837.21
29/08/2023,29/08/2023,ATM/WDL/1417476168/SBI ATM JAYANAGAR BLR,79.00,,5748758.21
30/08/2023,30/08/2023,UPI/CR/429120203786/KAVITHA RAO/HDFC0722665/kavitha791@ybl,,24000.00,5772758.21
30/08/2023,30/08/2023,ATM/WDL/7388048860/HDFC ATM KORAMANGALA,850.00,,5771908.21
30/08/2023,30/08/2023,NEFT/37812648/SAVITHA DEVI/HDFC0722665/71674378116104,449.00,,5771459.21
31/08/2023,30/08/2023,IMPS/P2P/438576926222/AYESHA KHAN/7819108495,,4800.00,5776259.21
30/08/2023,30/08/2023,ATM/WDL/14855699/CANARA ATM MYSURU,5200.00,,5771059.21
31/08/2023,31/08/2023,NEFT/7526467471/DEEPAK JOSHI/HDFC0722665/55524467688938,,11200.00,5782259.21
31/08/2023,31/08/2023,NEFT/2550855382/PREETHI IYER/HDFC0722665/15146175430043,449.00,,5781810.21
31/08/2023,31/08/2023,UPI/DR/02074733/KAVYA REDDY/HDFC0722665/kavya692@okaxis,449.00,,5781361.21
31/08/2023,31/08/2023,UPI/CR/9182454726/BINDHU NAIR/HDFC0722665/bindhu93@ybl,,500.00,5781861.21
31/08/2023,31/08/2023,ATM/WDL/6598790133/CANARA ATM MYSURU,5200.00,,5776661.21
31/08/2023,31/08/2023,UPI/DR/921432837960/KIRAN REDDY/HDFC0722665/kiran636@okhdfc,3499.00,,5773162.21
01/09/2023,01/09/2023,UPI/CR/242756527116/SNEHA PATIL/HDFC0722665/sneha584@oksbi,,18500.00,5791662.21
03/09/2023,02/09/2023,UPI/DR/72608129/ARCHANA PILLAI/HDFC0722665/archana726@oksbi,999.00,,5790663.21
02/09/2023,02/09/2023,ATM/WDL/425484766123/SBI ATM JAYANAGAR BLR,999.00,,5789664.21
02/09/2023,02/09/2023,NEFT/153048404346/RAJENDRA PRASAD/HDFC0722665/18540855461037,249.00,,5789415.21
02/09/2023,02/09/2023,UPI/DR/1117513997/AYESHA KHAN/HDFC0722665/ayesha114@oksbi,2380.00,,5787035.21
03/09/2023,02/09/2023,CHQ NO 365761 CLEARING,7800.00,,5779235.21
03/09/2023,02/09/2023,CHQ NO 889260 CLEARING,999.00,,5778236.21
04/09/2023,03/09/2023,CHQ NO 807928 CLEARING,3499.00,,5774737.21
04/09/2023,03/09/2023,UPI/DR/86853100/TANVI RAO/HDFC0722665/tanvi787@okaxis,850.00,,5773887.21
03/09/2023,03/09/2023,ATM/WDL/49554962/SBI ATM JAYANAGAR BLR,699.00,,5773188.21
03/09/2023,03/09/2023,ATM/WDL/239819023551/CANARA ATM MYSURU,1680.00,,5771508.21
04/09/2023,03/09/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,5782708.21
03/09/2023,03/09/2023,NEFT/4172040726/PRAKASH RAO/HDFC0722665/66082952540433,49.00,,5782659.21
04/09/2023,03/09/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,5793859.21
03/09/2023,03/09/2023,UPI/DR/617128704391/TARA SINGH/HDFC0722665/tara72@okhdfc,7800.00,,5786059.21
04/09/2023,04/09/2023,ATM/WDL/1519559008/SBI ATM JAYANAGAR BLR,1680.00,,5784379.21
04/09/2023,04/09/2023,ATM/WDL/3893051663/SBI ATM JAYANAGAR BLR,999.00,,5783380.21
04/09/2023,04/09/2023,CHQ NO 052607 CLEARING,310.00,,5783070.21
04/09/2023,04/09/2023,UPI/DR/8647825192/GANESH KUMAR/HDFC0722665/ganesh274@paytm,1250.00,,5781820.21
04/09/2023,04/09/2023,UPI/CR/430970536324/SUNITA DEVI/HDFC0722665/sunita642@ybl,,7600.00,5789420.21
04/09/2023,04/09/2023,ATM/WDL/950055936188/HDFC ATM KORAMANGALA,49.00,,5789371.21
04/09/2023,04/09/2023,NEFT/458345361995/RAMESH GOWDA/HDFC0722665/69211255569364,,32000.00,5821371.21
05/09/2023,04/09/2023,CHQ NO 265547 CLEARING,699.00,,5820672.21
05/09/2023,05/09/2023,IMPS/P2P/298274837903/NIKHIL GUPTA/7817940415,,850.00,5821522.21
05/09/2023,05/09/2023,UPI/DR/55409436/IMRAN KHAN/HDFC0722665/imran990@paytm,999.00,,5820523.21
05/09/2023,05/09/2023,UPI/DR/5333705649/KAVYA REDDY/HDFC0722665/kavya814@paytm,449.00,,5820074.21
05/09/2023,05/09/2023,UPI/DR/698474121292/RAJESH VERMA/HDFC0722665/rajesh899@okaxis,1250.00,,5818824.21
05/09/2023,05/09/2023,UPI/DR/52311126/KIRAN REDDY/HDFC0722665/kiran714@ybl,850.00,,5817974.21
05/09/2023,05/09/2023,ATM/WDL/106162603317/HDFC ATM KORAMANGALA,7800.00,,5810174.21
05/09/2023,05/09/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,24000.00,5834174.21
05/09/2023,05/09/2023,UPI/DR/682727333263/MALLIKA DAS/HDFC0722665/mallika105@okaxis,79.00,,5834095.21
05/09/2023,05/09/2023,ATM/WDL/96066128/HDFC ATM KORAMANGALA,3499.00,,5830596.21
06/09/2023,06/09/2023,IMPS/P2P/68868501/SANJANA HEGDE/8365129381,,24000.00,5854596.21
06/09/2023,06/09/2023,NEFT/986103940599/RAMESH GOWDA/HDFC0722665/10241382928983,,11200.00,5865796.21
06/09/2023,06/09/2023,UPI/CR/671514589759/RAMESH PILLAI/HDFC0722665/ramesh578@ybl,,11200.00,5876996.21
07/09/2023,06/09/2023,IMPS/P2P/410994466031/SURESH BABU/8873008262,,7600.00,5884596.21
06/09/2023,06/09/2023,UPI/DR/0132025261/KARTHIK MENON/HDFC0722665/karthik610@oksbi,7800.00,,5876796.21
07/09/2023,06/09/2023,CHQ NO 567868 CLEARING,310.00,,5876486.21
06/09/2023,06/09/2023,CASH DEPOSIT/BRANCH COUNTER/BANJARA HILLS HYDERABAD,,11200.00,5887686.21
07/09/2023,06/09/2023,IMPS/P2P/4131604460/NAVEEN KUMAR/9318067516,,11200.00,5898886.21
